10_v_10_0,والحمد لله.
70_v_70_15,حلوين يا ناصر، صدعت راسنا بالدبمين.
70_v_70_16,الله الله الله وصلنا له الحمد لله على السلامة.
70_v_70_17,تسمى مدمن أدقت.
70_v_70_2,السلام عليكم ورحمة الله وبركاته، أهلا بك يا صديقي المتابع في قناة دوبها مي كافين.
70_v_70_3,طريقة إلقاء المعلومات اللي من دون تفاصيل هذه ما تعجبني.
70_v_70_6,أنت في وجهة نظري هو أهم هرمون يفرز في جسدك في هذه الحياة.
70_v_70_7,هذا دمجت الكلمتين هذه وطلعت لك بكلمة دوبامي كافي.
70_v_70_8,التوفا مين يا صديقي المتابع من كثر ما هو قوي ومؤثر لو.
70_v_70_9,الدوفامين هو البنزين يا صديقي العسل.
70_v_70_10,هو الدافع والمحفز والمنشط وهو السر وراء كل عمل انت تسويه وشقاء وتعب انت تمر فيه عشان في النهايه تحصل على المكان.
70_v_70_11,إذا شفت وجبه معينه في مطعم معين تطيح فيها لين تبدأ تمل.
71_v_71_0,أنا أعاني من مشكلة.
71_v_71_1,أنا أعاني من إطلاق البصر.
71_v_71_2,وللأمانه، هذا الإطلاق للبصر أنهكني وأتعبني.
71_v_71_3,ترى إحنا مقصرين في صلاتنا وما ناويين نستوعب هذه النقاط.
71_v_71_4,يكون الله هو حبيبك الأول.
71_v_71_5,وهو الوحيد المستحق للمحبه الخالصة جدا.
71_v_71_6,وهذه المحبه ستبث في روحك ستبث في أعضائك ستبث في حياتك ستبث حتى في الهواء اللي تستنشقه.
72_v_72_0,الآن قلوبنا وكأن عليها غشاوه.
72_v_72_1,هذه أول مشكله نعاني منها في عدم التعرف على الله سبحانه وتعالى.
72_v_72_12,ويدرك أن الله سبحانه وتعالى حينها يرحب بالإنسان المسلم التائب حينما يعود إلى الله سبحانه وتعالى.
72_v_72_13,هذه الآية عظيمة جدا من ناحية التأكيد.
72_v_72_14,يعني هذا الحديث حديث عظيم جدا.
72_v_72_2,لها صوره ذهنيه في عقولنا هي صوره ورديه والصوره الجميله جدا عن التوبه.
72_v_72_3,يقول يا ليتني قدمت لحياتي.
72_v_72_4,مو بس مسلم صار مؤمن ومحسن وصار من كبار وخير خير الصحابة.
72_v_72_5,قصه عجيبه عظيمه جدا وتلامس القلب تلامس قلبي وقلبك قصه جميله.
72_v_72_6,عمر بن الخطاب الإنسان الجبار الذي يضرب في غير حق.
72_v_72_7,عمر بن الخطاب الرجل الجبار جدا رجل لا يلين لأحد.
72_v_72_10,تعاني من أمر معصي المعصي هذه أرقتك وأهلكتك وأثقلت كاهلك.
72_v_72_11,ستجد لذة عظيمة جدا، لذة عظيمة جدا لا تدرك معناها عندما تصل إلى الله سبحانه وتعالى.
7_v_7_0,أنا مهتم بها الموضوع من زمان.
8_v_8_0,أنا والله أشوف أسطوري حرام عليك معلش.
8_v_8_1,أعشق ذا الشخصيه أنا اتكلم عن الحب.
8_v_8_2,في هذه الحلقة.
8_v_8_3,أقسم بالله لا أخرج.
8_v_8_4,لوفي الأول في كل شيء.
8_v_8_5,شوف أفضل شرير وأفضل سياف وأفضل بطل وأفضل.
9_v_9_0,شكرا على تفاعلكم في المقطع الماضي.
9_v_9_1,وربي بالربح مسكين من الحافظ بالأرض.
9_v_9_2,أنا آسف المهم ه.
9_v_9_3,شوف عزيز المتابع شوف شوف الإبداع شوف الإبداع.
9_v_9_4,أنا ببقي من حلاوة الطعم.
9_v_9_5,ها إبداع والله يبدع.
9_v_9_6,خدمة المطعم سيئه.
9_v_9_7,بس زعلوني الصاله شوفوا كيف التغريف.
9_v_9_8,حاجه مره حلوه كذه وفخمه.
name,sentence
