name,sentence
66_v_66_5,لأن الميكب اللي فيه مو طبيعي.
69_v_69_3,وأعشق السله كثير.
50_v_50_2,وأحب الأفلام القديمة.
29_v_29_0,وقت أنا كنت مببتسم اتورطت ما دشر الابتسامه أخبيه ولا أخليه.
66_v_66_7,فيلم مهرجاني بحت اللي ما شافه لازم لازم لازم تشوفه، هذا أول فيلم لازم تشوفه.
33_v_33_1,صراحه شي شي متعب.
50_v_50_13,تحس انه أنا منزعج.
6_v_6_5,يا اخي صار ناضج صار ذكي وصار يعرف يستخدم قدرة الأوشي ها.
25_v_25_9,ترى حنا استفدنا منكم حنا اتعلمنا عليكم.
25_v_25_2,أصبحت القدرة على السرد غير موجودة.
50_v_50_12,هي كانت جدا مزعجة فحتى أنا ما استمتعت بالفيلم وايد.
50_v_50_8,للأسف دومينيان ما كان من هدف لام دي.
38_v_38_5,إني كل ما شفته أحزن.
25_v_25_3,فهذه أضرت بقدرتنا على التواصل المباشر، قدرتنا على التعبير حتى عن مشاعرنا.
56_v_56_3,تفاجأت فيا.
21_v_21_1,خوف ما أعرف إيش حيصير يعني.
50_v_50_1,أنا ترحب أفلام جرسك بارك.
72_v_72_9,ستجد لذة عظيمة جدا، لذة عظيمة جدا لا تدرك معناها عندما تصل إلى الله سبحانه وتعالى.
63_v_63_7,المقرئ الأسطوري أحمد ندا.
40_v_40_4 (1),تحقق الحلم وعملت في bbc.
59_v_59_10,أكلمكم في عندي عادات معينة مضايقاني وأحاول أوصلها من سنين ما أني.
41_v_41_2,بكل أسف.
11_v_11_1,العيش مره حلو.
59_v_59_8,زي المسجون يعني كأني أسير لهذه العادة.
28_v_28_4,والثانية في المستشفى توفى.
39_v_39_1,وضايقتني جدا.
68_v_68_0,رددي أبدا باستلهام أفكارك من أي شي حولك.
54_v_54_0,بالبدايه أعتذر منكم عن التأخر في الفيديو.
27_v_27_0 (1),أرض غريبة عجيبة.
53_v_53_1,فأنا في ديك اللحظه أستغل المريض أقول له بارسلك الأيبان واستر عليك.
32_v_32_0,فجاءني صدمه كبيره وحزن.
6_v_6_8,أسطوري أسطوري طبعا أسطوري.
3_v_3_14,ونشعر بالذنب لأننا نشعر بالذنب.
3_v_3_15,ونغضب لأننا نغضب.
72_v_72_10,ويدرك أن الله سبحانه وتعالى حينها يرحب بالإنسان المسلم التائب حينما يعود إلى الله سبحانه وتعالى.
70_v_70_14,الله الله الله وصلنا له الحمد لله على السلامة.
19_v_19_10 (1),وأكثر التعليقات اللي ضحكتني شخصيا.
69_v_69_6,الحمد لله.
54_v_54_2,وأريد أن أشكركم على دعمكم المتواصل.
30_v_30_1,هي ورطة ورطة.
64_v_64_0,موسم أول ممتاز.
48_v_48_1,كونو شاكرا ممتنا إذا ما اشتركتم بالقناة وضغطتم لاهاي.
70_v_70_10,تبدأ تمل.
12_v_12_1,واللي كل فيلم من أعماله يعتبر كأنه لوحة تشكيلية.
56_v_56_2,وفجأة شفت.
38_v_38_1,وهذه أفرح فيها.
58_v_58_3,ولحسن حظي أنني كبرت ولم ألحق البوكي مون والموزات والبجامات وأبطال الديجيتال.
5_v_5_7,يا حبيت.
41_v_41_7,ثم انتحر.
72_v_72_0,الآن قلوبنا وكأن عليها غشاوه.
14_v_14_3,جميل، لا ده فضايح جميل نعم حلو يجرى كده.
62_v_62_0,أنا بابا اتوفى أنا كنت في المدينه هذا أول.
44_v_44_2,بالنسبة لي أكثر شيء استفدت من إخراجي أنه خلى هذا الجانب مني حي.
70_v_70_4,أنت في وجهة نظري هو أهم هرمون يفرز في جسدك في هذه الحياة.
17_v_17_8,وأنا من النوع اللي ما يتقبل الخسارة في قلب الرحم.
54_v_54_7,وتشرف بكم جميعا.
56_v_56_0,في المسرح تفاجئت أنه.
17_v_17_1,يحط كفم ثاني.
20_v_20_1,صورة واقعية يمكن إسقاطها على أرض الواقع.
